pks_code,0,1,2
7F06,67.90123456790124,17.28395061728395,14.814814814814813
7F07,31.944444444444443,2.7777777777777777,65.27777777777779
7F08,71.17117117117117,7.207207207207207,21.62162162162162
AP06,60.0,0.0,40.0
CP01,83.33333333333334,0.0,16.666666666666664
CP02,48.333333333333336,11.11111111111111,40.55555555555556
CP03,73.26732673267327,25.742574257425744,0.9900990099009901
CP09,55.319148936170215,24.758220502901356,19.922630560928432
CP10,60.0,40.0,0.0
DP02,66.35514018691589,9.345794392523365,24.299065420560748
DP03,0.0,0.0,100.0
DP04,75.0,0.0,25.0
DP09,50.0,50.0,0.0
DP11,11.11111111111111,0.0,88.88888888888889
DP13,77.77777777777779,0.0,22.22222222222222
DP14,72.22222222222221,2.2222222222222223,25.555555555555554
DP15,14.285714285714285,0.0,85.71428571428571
DP16,86.66666666666667,6.666666666666667,6.666666666666667
DP17,55.55555555555556,22.22222222222222,22.22222222222222
DP18,86.66666666666667,0.0,13.333333333333334
EP02,0.0,0.0,100.0
EP04,100.0,0.0,0.0
EP05,75.0,12.5,12.5
EP06,0.0,100.0,0.0
EP08,61.53846153846154,30.76923076923077,7.6923076923076925
EP12,36.36363636363637,0.0,63.63636363636363
FP03,4.166666666666666,95.83333333333334,0.0
FP04,35.483870967741936,35.483870967741936,29.03225806451613
FP05,68.53932584269663,20.224719101123593,11.235955056179774
FP06,14.042553191489363,83.40425531914893,2.553191489361702
FP07,54.347826086956516,39.130434782608695,6.521739130434782
FP11,70.5179282868526,22.709163346613543,6.772908366533864
MP04,73.68421052631578,21.052631578947366,5.263157894736842
NP01,35.267857142857146,39.285714285714285,25.44642857142857
