COMPANY,PKS_CODE,INSTRUMENT_SERIAL_NUMBER,OIL_WM,VM,OIL_DM,NOS,FFA,DOBI,RILL_MUTU_KADAR_AIR,INC_MUTU_KADAR_AIR
N006,FP04,,44.92,6.54,48.06,48.54,0,0,6.54,green
N006,FP04,,40.84,9.37,45.07,49.78,03.09,0,9.37,red
[NULL],7F06,,42.11,07.07,45.32,50.81,3.47,0,07.07,orange
[NULL],7F07,,30.82,10.2,34.32,58.97,0,0,10.2,orange
[NULL],7F07,,28.93,10.85,32.45,60.22,0,0,10.85,orange
N006,FP03,,51.69,6.48,55.27,41.83,0,0,6.48,green
N014,NP01,91872189,46.36,6.45,49.55,47.2,0,0,6.45,green
N014,NP01,91872189,45.75,7.91,49.68,46.34,0,0,7.91,red
N014,NP01,91872189,44.52,9.25,49.06,46.23,0,0,9.25,red
[NULL],7F08,,45.6,4.76,47.88,49.64,0,0,4.76,orange
N00D,DP02,,41.1,6.92,44.16,51.97,0,0,6.92,green
N00D,DP02,,43.5,4.6,45.6,51.9,0,0,4.6,green
N00D,DP02,,45.69,4.35,47.77,49.96,0,0,4.35,green
N00D,DP02,,48.88,3.22,50.5,47.9,0,0,3.22,green
N00D,DP02,,45.09,4.26,47.1,50.65,0,0,4.26,green
N00D,DP02,,42.14,1.62,42.83,56.24,0,0,1.62,green
N006,FP03,,45.19,12.41,51.59,42.4,0,0,12.41,red
[NULL],7F07,,42.86,3.41,44.38,53.73,0,0,3.41,orange
N006,FP03,,49.71,5.95,52.85,44.34,0,0,5.95,green
[NULL],7F06,,47.25,5.24,49.86,47.51,3.43,0,5.24,orange
[NULL],7F07,,41.45,0.54,41.68,58.01,0,0,0.54,orange
N006,FP03,,50.39,5.28,53.2,44.33,0,0,5.28,green
N006,FP05,,45.98,6.56,49.21,47.46,0,0,6.56,green
[NULL],7F08,,48.3,2.67,49.62,49.03,0,0,2.67,orange
N006,FP03,,53.18,5.32,56.17,41.5,0,0,5.32,green
N006,FP06,,48.53,7.53,52.49,43.93,0,0,7.53,red
N006,FP06,,48.93,7.4,52.84,43.67,0,0,7.4,red
N006,FP06,,45.93,8.74,50.33,45.32,0,0,8.74,red
N006,FP06,,45.93,8.74,50.33,45.32,0,0,8.74,red
N006,FP06,,46.56,8.79,51.05,44.65,0,0,8.79,red
[NULL],7F06,,46.39,5.83,49.26,47.78,3.66,0,5.83,orange
[NULL],7F06,,35.31,10.6,39.5,54.09,5.86,0,10.6,orange
N006,FP05,,44.51,6.24,47.47,49.25,0,0,6.24,green
N003,CP03,,46.54,7.46,50.3,45.99,0,0,7.46,red
N003,CP03,,45.52,7.85,49.4,46.63,0,0,7.85,red
N003,CP03,,46.39,8.13,50.49,45.48,0,0,8.13,red
N003,CP02,,45.33,7.35,48.93,47.32,0.96,0,7.35,red
N003,CP02,,45.38,7.25,48.93,47.37,0.5,0,7.25,red
N003,CP02,,49.13,5.65,52.07,45.23,0.18,0,5.65,green
[NULL],7F07,,42.91,4.12,44.75,52.98,0,0,4.12,orange
[NULL],7F07,,47.6,0.93,48.05,51.47,0,0,0.93,orange
N006,FP03,,51.37,5.23,54.21,43.39,0,0,5.23,green
N003,CP03,,46.52,7.54,50.31,45.94,0,0,7.54,red
N003,CP03,,45,8.31,49.08,46.69,0,0,8.31,red
N003,CP03,,45.19,8.42,49.34,46.39,0,0,8.42,red
[NULL],7F08,,45.3,3.78,47.08,50.92,0,0,3.78,orange
[NULL],7F06,,44.53,6.22,47.48,49.26,3.26,0,6.22,orange
